 Year,Buses ,Taxis,Light Motor Vehicles(Passengers),Goods vehicles(a),Two-wheelers,Cars,Jeeps,Miscellaneous(b)
2001,633900,634357,1777130,2948300,38556026,5297219,1126148,4017946
2002,635006,688204,1878261,2973740,41581058,5748036,1177245,4242787
2003,720696,825416,2113781,3491637,47519489,6594166,1180057,4562042
2004,767593,901889,2167324,3748484,51921973,7267174,1282113,4661385
2005,678521,939738,2337264,3877622,58799702,8072650,1307926,5488296
2006,762341,1039845,2492726,4274984,64743126,9109855,1376744,5818646
2007,1098422,1042347,2697449,5118880,69128762,10146468,1460364,6014568
2008,1156568,1201862,2903821,5600938,75336026,11200142,1547825,6405672
2009,1205793,1307805,3146619,6040924,82402105,12365806,1638975,6843006
2010,176642,3615086,3615086,6431926,91597791,13749406,1760428,7552876
2011,1238245,1789417,4016888,7064495,101864582,15467473,1974253,8045441
2012,1296764,2011022,4242968,7658391,115419175,17569546,1987098,8866332
2013,1418763,2216453,4718672,8596762,132550294,20503389,2132893,9768046
2014,1468010,2109348,4638377,8697541,139409778,21671515,2216888,9778764
2015,1527396,2256619,5028312,9344464,154297746,23807986,2546731,10474886
